,pageno,heading,content
10,,THE ROLE OF COMEDY,
11,,IN HUMAN LIFE,
12,,Best Write-up in  1. Telugu,
13,, 2. Urdu,
14,, 3. English,"Nampally, Hyderabad"
15,,The Duck and the Kangaroo,"“Please give me a ride on your back!”Said the Duck to the Kangaroo.“I would sit quite still, and say nothing but ‘QUACK’,The whole of the long day through!And we’d go to the Dee and the Jelly Bo Lee,Over the land, and over the sea;Please take me a ride! O do!”Said the Duck to the Kangaroo."
16,,Little Bobby,"Little Bobby, of course, thought he did.Bobby’s mother wanted Bobby to reflect on his behaviour over the last year and said,“Go to your room, Bobby, and think about how you have behaved this year. Then write aletter to God and tell Him why you deserve a bike for your birthday.”Little Bobby stumped up the steps to his room. Jessy, his pet dog followed him. Bobbythought for some time and sat down to write a letter to God. Jessy sat beside him andstarted watching what Bobby was doing."
17,,Games and Sports,"1.What, according to you, does this quotation express?2.Is it essential to dream high? How can one make one’s dream come true?Oral activity:  Speech -  “The dream of my life and how I am going to achieve it.”"
18,,True Height,"This story talks about the feelings of an athlete as he pursues his dream. Readabout a nerve-wracking day in Michael Stone’s life as he prepares to take the ultimatetest of his sports career. It is an awe-inspiring achievement that will leave you breathless.His palms were sweating. He needed a towel to dry his grip. A glass of ice waterquenched his thirst but hardly cooled his intensity. The astroturf  he sat on was as hot as thecompetition he faced today at the National Junior Olympics. The pole was set at 17 feet.That was three inches higher than his personal best. Michael Stone confronted the mostchallenging day of his pole-vaulting career. The stands were still filled with about twentythousand people, even though the final race had ended an hour earlier.The pole vault is truly the glamorous event of any track and field competition. Thesportsman combines the grace of a gymnast with the strength of a bodybuilder. Pole-vaultingalso has the element of flying, and the thought of flying as high as a two-storeyed buildingis a mere fantasy to anyone watching such an event. Today it is not only Michael Stone’sreality and dream – it is his quest.As long as Michael could remember, he had always dreamed of flying. Michael’smother read him numerous stories about flying when he was growing up. Her stories werealways the ones that described the land from a bird’s-eye view. Her excitement and passionfor details made Michael’s dreams full of colour and beauty. Michael had this one recurringdream. He would be running down a country road. He could feel the rocks and chunks ofdirt at his feet. As he raced down the golden-lined wheat fields, he would always outrun thelocomotives passing by. He would begin soaring like an eagle.Where he flew would always coincide with his mother’s stories. His dad, on the otherhand, was not a dreamer. Bert Stone was a hard-core realist. He believed in hard work andsweat. His motto: If you want something, work for it!From the age of fourteen, Michael did just that. He began a very careful and regimentedweightlifting programme. He worked out every other day with weights, with some kind ofrunning work on alternate days. The programme was carefully monitored by Michael’s coach,trainer and father. Michael’s dedication, determination and discipline was a coach’s dream."
19,,What Is a Player?,"A player is one, who doesn't give up at the sight of defeat,But learns from their mistakes and puts them beneath.A player is one who doesn't give up at the sound of the buzzer,Always giving what they have from one side of the court to the other.A player is one who doesn't whine about their playing time,Because a player knows it's an unacceptable crime.A player is one who practises game-speed,Always keeping in mind that their shots are not guaranteed.A player is one who doesn't settle for anything less,Even knowing, that they're not the best.They will be the ones you see outside practicing,Day or night, rain or shine,They are the ones running on hurt ankles, admitting they’re fine.A player is one, who has a strong, sensible mind,Never pondering about failing, only contemplating prevailing.A player is one who doesn't chicken out,Who wants to be in the game when everything countsNow, that is a true player. - Jessica Taylor"
20,,V,
21,,".V.S. Laxman, Very Very Special","‘Treat success and failure on the same wavelength’“Success and failure are parts of anybody’s life. The key is self-belief andperforming consistently in tough conditions,” V.V.S. Laxman tells V. V. Subrahmanyam.One of the finest players in contemporary cricket has called it a day. For someonewho delighted cricket lovers with his brilliance with the willow for 16 long years in Testcricket, Vangipurapu Venkata Sai Laxman announced his retirement at a crowded mediaconference in Hyderabad, ahead of the two-test series against New Zealand.The 37-year-old star batsman, who was part of the fabulous batting line-up whichhelped India become the No.1 Test team, shares his experiences and thoughts in anexclusive interview with Sportstar.Sportstar: When you look back, how has the journey beenin the world of cricket?V.V.S.Laxman: It has been wonderful. I was lucky that theHyderabad Cricket Association promoted me and Zaki (SyedMoinuddin Zaki) from the under-16 level itself. They madeus play in the under-19 grade the same year. It was a hugeleap for us and very encouraging. Fortunately, by 18, I wason the verge of playing for Hyderabad in the Ranji Trophy.Honestly, I feel that all the hard work andcommitment I put in from the start of my career haveculminated in 16 long years of international cricket. It hasbeen an immensely satisfying feeling to have contributed to Indian cricket in myown way.SS :Who has been the biggest influence on you?VVS:My parents (Dr. V. Shantaram and Dr. V. Satyabhama), no doubt about that. Especially,given the fact that sports was never an integral part of our family. But, the guidingphilosophy which they taught was handling success and failure with equal ease."
22,,School Life,Look at the picture and answer the questions that follow.
23,,Swami Is Expelled from School,"The headmaster entered the class with a slightly flushed face and a hard ominous lookin his eyes. Swaminathan wished that he had been anywhere but there at that moment. Theheadmaster surveyed the class for a few minutes and asked, ‘Are you not ashamed of comingand sitting there after what you did yesterday?’ Just as a special honour to them, he read outthe names of a dozen students or so that had attended the class. After that he read out thenames of those that had kept away, and asked them to stand on their benches. He felt thatpunishment was not enough and asked them to stand on their desks. Swaminathan was amongthem and felt humiliated at that eminence. Then they were lectured. When it was over, theywere asked to offer explanations one by one. One said that he had an attack of a  headacheand therefore could not come to school. He was asked to bring a medical certificate.The second said that while he had been coming to school on the previous day, someonehad told him that there would be no school, and he had gone back home. The headmasterreplied that if he was going to listen to every loafer who said there would be no school, hedeserved to be flogged. Anyway, why did he not come to  school and verify? No answer. Thepunishment was pronounced: ten days’ attendance cancelled, two rupees fine, and the wholeday to be spent on the desk. The third said that he had an attack of a headache. The fourthsaid that he had stomach ache. The fifth said that his grandmother died suddenly just as hewas starting for school. The headmaster asked him if he could bring a letter from his father.No. He had no father. Then, who was his guardian? His grandmother. But the grandmotherwas dead, was she not? No. It was another grandmother. The headmaster asked how manygrandmothers a person could have. No answer. Could he bring a letter from his neighbours?No, he could not. None of his neighbours could read or write, because he lived in a veryilliterate part of Ellaman Street. Then the headmaster offered to send a teacher to thisilliterate locality to ascertain from the boy’s neighbours if the death of the grandmotherwas a fact. A pause, some perspiration, and then the answer that the neighbours could notpossibly know anything about it, since the grandmother died in the village. The headmasterhit him on the knuckles with his cane, called him a street dog, and pronounced the punishment:fifteen days suspension.When Swaminathan’s turn came, he looked around helplessly. Rajam sat on the thirdbench in front, and resolutely looked away. He was gazing at the blackboard intently."
24,,"Not Just a Teacher, but a Friend","I had nowhere to turn, had nowhere to goThis is just something I think you need to knowI don't know what made me trust youI still remember the day when I told you what I've been throughI thought I should run away, go hide in a holeBut then you really brought out my true soulAs each day grew longerOur trust became strongerEach time I wanted to cryYou stayed there right by my sideThen I moved to the next gradeBoy was I afraidThat our trust would slowly fadeBut I was wrongWe are still strong3.What is the occasion mentioned in the second speech?4.Who is the chief guest mentioned in the second speech?5.Who is addressing the gathering in the second speech?Imagine that you are the School Pupils’ Leader (SPL). Compere on  theRepublic Day celebrations in your school.You may include the following in your compering:Welcome addressInviting the guests onto the daisImportance of the occasion Request to continue the proceedings Vote of thanksOral Activity"
25,, Environment,1.What do you think the picture is about?2.What can you do to save nature?Oral Activity:   Speech - “The selfishness of human beings destroy the environment.”Give suitable examples to substantiate your opinion.
26,,What Is Man Without the Beasts?,
27,,The River,77Free distribution by T.S. Government
28,,Can’t Climb Trees Any More,
29,,Disasters,"1.What made the people stand on the roof-tops?2.What are the people in the helicopter trying to do?3.Have you ever seen a situation like this in your life? If yes,when and wheredid you see it?Oral Activity: Talk on - “Natural calamities and their effect on human life.”Look at the picture and answer the questions that follow."
30,,A Havoc of Flood,"On 27 September 2009 the cityhad a heavy rainfall. As the people hadto spend a damp, cold and cloudy day,they finished their business in theevening and reached their dwellingplaces at early hours hoping a brightmorning the next day. They hadscarcely arrived at their destinationswhen the rain poured down. Itspouring continued throughout thenight.As a result, on 28 September2009 the people of Kurnool had towelcome river waters in gloomycolours to their streets instead of thebuses full of tourists. They got upfrom their sleep by  roaring floodsinundating their houses as well asshattering their hopes of getting abright and colourful morning."
31,,Grabbing Everything on the Land,
32,,The Ham Radio,
33,,Freedom,Look at the following pictures and discuss the questions that follow.
34,,A Long Walk to Freedom,
35,,Where the Mind is Without Fear,"WHERE the mind is without fear and thehead is held high;Where knowledge is freeWhere the world has not been broken up into fragmentsby narrow domestic walls;Where words come out from the depth of truth,Where tireless striving stretches its arms towards perfection;Where the clear stream of reasonhas not lost its way into the dreary desert sand of dead habit;Where the mind is led forward by Theeinto ever-widening thought and actionInto that Heaven of freedomMy Father, let my country awake.- Rabindranath TagoreRabindranath Tagore (1861-1941) is one of the bestknown Indian writers, who wrote both in his mother tongueBangla and in English. He was a poet, playwright, novelist,painter, educator and musician. He translated a collection ofhis poems, ‘Gitanjali’, which was published in 1912. In 1913he was awarded the Nobel Prize for literature. He is the authorof the Indian National Anthem as well as the National Anthem of Bangladesh."
36,,An Icon of Civil Rights,"Martin Luther King's Acceptance Speech, on the occasion of the award of theNobel Peace Prize in Oslo, December 10, 1964.Your Majesty, Your Royal Highness, Mr. President, Excellencies, Ladies andGentlemen:          I accept the Nobel Prize for Peace at amoment when 22 million Negroes of theUnited States of America are engaged in acreative battle to end the long night of racialinjustice. I accept this award on behalf of acivil rights movement which is moving withdetermination and a majestic scorn for riskand danger to establish a reign of freedom anda rule of justice. I am mindful that onlyyesterday in Birmingham, Alabama, ourchildren, crying out for brotherhood, wereanswered with fire hoses, snarling dogs andeven death. I am mindful that only yesterdayin Philadelphia, Mississippi, young peopleseeking to secure the right to vote were brutalized and murdered. And only yesterday morethan 40 houses of worship in the state of Mississippi alone were bombed or burned becausethey offered a sanctuary to those who would not accept segregation. I am mindful thatdebilitating and grinding poverty afflicts my people and chains them to the lowest rung ofthe economic ladder.         Therefore, I must ask why this prize is awarded to a movement which is beleagueredand committed to unrelenting struggle; to a movement which has not won the very peaceand brotherhood which is the essence of the Nobel Prize.After contemplation, I conclude that this award which I receive on behalf of thatmovement is a profound recognition that nonviolence is the answer to the crucial political"
37,,Theatre,"1.What are the pictures about?2.What are the children doing in the pictures?3.Can you guess the themes of  each skit/play?4.Have you ever taken part in any skit/play. If so, share your experience.Oral Discourse: Skit - Perform a skit/play on any theme."
38,,The Trial,
39,,Antony’s Speech,"This speech is an extract from the play, ‘Julius Caesar’ written by WilliamShakespeare. Julius Caesar was a Roman emperor with great political power. He waskilled in a conspiracy led by Brutus. Antony, a great friend of Julius Caesar gave a rousingspeech to the public on this occasion keeping the dead body before the public.He begins his speech by saying: “Friends, Romans, countrymen, lend me yourears...”Friends, Romans, countrymen, lend me your ears;I come to bury Caesar, not to praise him.The evil that men do lives after them;The good is oft interred with their bones;"
40,,Mahatma Gandhi – Pushed out of Train,[ FIRST CLASS COACH. SOUTH AFRICAN RAILWAYS. INTERIOR.NIGHT. ]
41,,Travel and Tourism,Look at the pictures and answer the questions that follow.
42,,The Accidental Tourist,
43,,Father Returning Home,"Like a word dropped from a long sentence.He hurries across the length of the grey platform,Crosses the railway line, enters the lane,His chappals are sticky with mud, but he hurries onward.Home again, I see him drinking weak tea,Eating a stale chapati, reading a book.He goes into the toilet to contemplateMan’s estrangement from a man-made world.Coming out he trembles at the sink,The cold water running over his brown hands,A few droplets cling to the greying hairs on his wrists.His sullen children have often refused to shareJokes and secrets with him. He will now go to sleepListening to the static on the radio, dreamingOf his ancestors and grandchildren, thinkingOf nomads entering a subcontinent through a narrow pass.- Dilip Chitre"
44,,Kathmandu,"I get a cheap room in the centreof town and sleep for hours. The nextmorning, with Mr. Shah’s son and nephew.I visit the two temples in Kathmandu thatare most sacred to the Hindus and theBuddhists.At Pashupathinath (outside whicha sign proclaims ‘Entrance for the Hindusonly’) there is an atmosphere of ‘febrileconfusion’. Priests, hawkers, devotees,tourists, cows, monkeys, pigeons and dogsroam through the grounds. We offer a fewflowers. There are so many worshippersthat some people trying to get the priest’sattention are elbowed aside by otherspushing their way to the front. A princessof the Nepalese royal house appears; everyone bows and makes way. By the main gate,a party of saffron – clad Westerners struggle for permission to enter. The policeman is notconvinced that they are ‘the Hindus’ (only the Hindus are allowed to enter the temple). Afight breaks out between two monkeys. One chases the other, who jumps onto a shivalinga,then runs screaming around the temples and down to the river, the holy Bagmati that flowsbelow. A corpse is being cremated on its banks; washerwomen are at their work and childrenbathe. From a balcony a basket of flowers and leaves, old offerings now wilted, is droppedinto the river. A small shrine half protrudes from the stone platform on the river bank.When it emerges fully, the goddess inside will escape, and the evil period of the Kaliyugwill end on earth.At the Boudhanath stupa, the Buddhist shrine of Kathmandu, there is, in contrast, asense of stillness. Its immense white dome is ringed by a road. Small shops stand on itsouter edge; many of these are owned by Tibetan immigrants; felt bags, Tibetan prints andsilver jewellery can be bought here. There are no crowds; this is a haven of quietness in the"
45,,Appendix I,
46,,Texts for Listening,
47,,Learning Outcomes - English,"Learner…•listens to, infers, interprets and appreciates the literary / non-literary inputs suchas stories, narratives, news reports, speeches and debates etc. that contain vividimages, a variety of sentence forms and personal reflections.•speaks on key contemporary issues like social justice, environment, gender  withcoherence and cohesion while participating in interactive tasks like debates anddiscussion.•participates in bilingual or multilingual discourses on various themes.•reads ,comprehends and responds independently to various types of familiar andunfamiliar texts employing strategies like skimming, scanning, predicting,previewing, reviewing, inferring and summarising.•reads silently with comprehension and interprets layers of meaning.•listens to, reads, writes and sings poems/ songs that contain specific patterns(rhythm, music, theme, structure, metre) emotions and reflections, figures of speech,images, thoughts, feelings and appreciates nuances and shades of literary meaningsand poet’s / writer’s point of view.•reads and respond to stories, narratives descriptions and biographies that containa sequence of events, dialogues, sensory perceptions, images, settings,characterisation and evoking images with coherence.•reads and writes reviews that state the context, highlight and comment on featuresof the item reviewed, cite from the texts and make personal impressions.•reads and writes messages ,notices, posters, diaries and invitations for variousoccasions and purposes and identifies details such as venue, date, time, salutation,agenda•understands and elicits meanings of the words in different contexts and by usingdictionary, thesaurus and digital facilities.•reads and responds orally and in writing to letters essays that contain paragraphing,organisation of main ideas, coherence, supporting details, title, introduction, thesisstatement, body and conclusion.•reads and writes drama/Play scripts that depict dramatic conflict using dialoguesrevealing emotions/ feelings, and contain stage directions, movements settingsand reference to costumes and props."
48,,CHILDREN'S BILL OF RIGHTS,"A child is every person under the age of 18 years. Parents have the primary responsi-bility for the upbringing and development of the child. The State shall respect andensure the rights of the child.•I have the Right to express my views freely, which should be taken seriously, and every-one has the Responsibility to listen to others.         [Article-12,13]•I have the Right to good health care and everyone has the Responsibility to help others getbasic health care and safe water.            [Article- 24]•I have to Right to good education, and everyone has the Responsibility to encourage allchildren to go to school   [Article- 28,29,23]•I have the Right to be loved and protected from harm and abuse, and everyone has theResponsibility to love and care for others. [Article-19]•I have the Right to be included whatever my abilities, and everyone has the Responsibilityto respect others for their differences.[Article- 23]•I have the Right to be proud of my heritage and beliefs, and everyone has the Responsi-bility to respect the culture and belief of others.        [Article- 29,30]•I have the Right to safe and comfortable home and everyone has the Responsibility tomake sure all children have homes.  [Article- 27]•I have the Right to make mistakes, and everyone has the Responsibility to accept we canlearn from our mistakes.   [Article- 28]•I have the Right to be well fed and everyone has the Responsibility to prevent peoplestarving. [Article- 24]•I have the Right to a clean environment, and everyone has the Responsibility not to polluteit.  [Article- 29]•I have the Right to live without violence (verbal, physical, emotional), and everyone hasthe Responsibility not to be violent to others.[Article- 28, 37]•I have the Right to be protected from economic exploitation, and everyone has the Re-sponsibility to ensure that no child is forced to work and is given a free and secure envi-ronment.         [Article- 32, 34]These rights and responsibilities are enshrined in the United Nations Convention on the Rights ofthe Child, 1989. It contains all the rights which children and young people have all over the world.The Government of India signed this document in 1992."
